margin,diff
430,4.51
40,6.05
-10,3.39
230,4.68
130,2.23
350,2.46
600,6.33
210,3.12
-20,2.76
590,7.08
570,2.38
220,2.88
30,2.49
480,6.39
530,7.9
-40,2.69
330,6.11
480,3.92
240,4.82
170,3.43
110,3.65
-80,3.36
90,3.85
250,4.45
260,4.26
340,3.36
390,3.98
40,2.9
70,3.07
230,3.0
30,3.01
160,4.85
130,5.53
280,4.74
350,4.92
550,4.45
270,4.84
240,4.06
430,4.32
470,4.44
100,2.51
250,2.59
180,5.93
450,4.08
50,2.31
290,2.18
320,4.17
200,3.22
480,2.17
200,2.79
-60,2.21
380,2.78
160,6.19
-10,4.13
240,3.98
490,4.85
100,2.38
-230,1.15
-20,0.23
20,0.65
-10,0.05
-50,0.17
190,0.24
190,0.58
340,0.51
30,1.39
-280,0.7
20,0.44
190,1.28
-210,1.75
-40,0.61
-300,1.41
-140,0.47
150,0.45
170,0.8
50,1.01
380,1.65
-40,2.06
200,1.62
-210,1.78
-10,2.25
270,1.3
-50,2.64
470,1.41
430,3.48
-140,2.48
180,2.49
150,2.98
770,7.08
240,2.0
-220,2.51
180,2.35
510,7.1
160,3.51
350,7.33
150,1.94
530,8.22
270,2.37
40,1.97
70,2.4
-110,2.04
320,6.43
150,1.06
110,1.86
440,6.44
-20,1.93
270,2.08
350,5.54
440,2.26
-100,2.76
110,1.6
60,1.61
420,5.3
420,2.3
40,2.34
-90,1.94
160,1.47
50,1.91
-80,0.97
-80,1.32
210,1.68
60,1.95
-70,1.33
80,1.94
80,2.57
-80,2.08
230,2.61
10,2.76
410,2.54
210,1.68
10,2.89
320,3.73
320,2.43
360,1.72
450,1.37
510,2.2
110,2.39
210,1.73
170,1.96
180,1.47
100,2.35
90,3.05
-140,2.05
120,3.02
-30,2.06
-180,4.9
340,5.86
410,3.9
90,4.98
380,5.17
190,4.42
190,4.06
350,4.44
300,4.71
130,4.08
420,5.02
430,3.98
200,3.62
330,5.04
310,4.4
190,5.67
530,4.36
280,3.71
100,3.82
160,4.58
500,3.67
-30,3.94
150,4.5
400,3.87
180,3.59
440,4.21
130,3.51
130,3.37
130,1.61
80,2.37
60,0.89
30,1.99
20,1.43
240,1.28
100,1.28
110,2.03
160,0.99
200,0.5
240,2.45
-10,0.19
120,1.35
-60,0.96
120,0.62
190,0.91
-80,0.92
20,0.0
-20,-0.0
-80,0.94
-200,0.53
-10,1.02
-290,0.43
200,0.32
60,0.77
-90,0.73
-360,0.05
20,0.7
290,0.38
-10,1.74
-40,0.34
100,2.37
-140,1.95
70,2.36
10,2.25
140,2.05
110,0.43
130,3.55
290,2.35
-170,0.02
-130,1.25
80,0.49
10,0.29
130,0.22
-80,1.46
-210,0.5
480,2.17
270,2.83
250,1.61
40,0.16
-230,0.05
270,2.83
140,1.13
170,1.36
150,1.27
210,0.59
120,3.57
200,1.53
160,2.04
-30,0.82
-10,1.52
-110,1.17
240,0.58
190,0.85
-80,2.18
110,4.24
-90,1.09
-20,2.84
-130,0.14
80,0.76
180,2.02
300,3.25
100,0.66
-210,0.92
190,3.84
-40,0.58
240,1.62
150,2.62
40,1.01
330,1.57
430,2.57
100,1.61
90,1.82
120,1.17
-300,0.61
120,0.01
270,2.47
-20,3.62
120,2.62
-10,2.53
270,1.54
430,3.21
