win,diff
1,45.4193723
0,16.45075757
0,20.55762987
0,0.66350728
1,43.14583338
1,34.84810606
0,5.61666666
1,8.77083333
1,8.0094697
1,61.54318187
1,36.64853897
1,44.12083337
1,25.92677049
1,26.69507581
0,5.36914062
1,28.56709957
0,8.10732605
1,49.73750003
1,18.39734849
0,2.64032908
1,37.31204625
1,0.97916667
1,25.4375
0,17.9972944
1,18.79861111
1,44.12310611
1,19.95151515
1,21.53679654
1,21.43894019
1,31.74020563
1,19.58035714
1,13.3598485
1,29.78598488
1,40.51103896
1,23.56547624
1,12.76596321
1,26.78704625
1,22.79717092
0,11.78869048
1,39.53187229
1,30.76325761
0,3.99855981
1,22.58630957
0,7.98843514
1,63.09734853
1,7.79166666
1,9.22646107
1,0.97727273
1,30.78560606
1,6.4625
1,20.55952381
0,10.20562774
1,31.3571429
0,5.34810606
1,18.97424242
1,8.39583333
1,58.7583333
1,37.58704624
1,51.10371293
1,47.60416667
1,19.19166667
1,65.31204627
1,22.60416667
0,6.75
1,37.70833333
0,11.52916667
1,35.98333336
1,21.66621291
0,10.9375
1,4.2583333
1,7.02037957
1,8.6995463
1,36.10787958
1,49.08333333
1,31.47454624
0,1.47916666
1,31.47454624
1,36.25371291
1,65.0083333
1,0.4375
1,21.66621291
1,22.60416667
1,6.75
1,62.04121293
1,41.96666663
1,11.52916667
1,30.68795376
1,0.14583333
1,14.20833334
0,7.02037957
1,26.05787957
0,4.2583333
1,24.45416669
0,4.75
1,14.68287957
1,15.75462039
1,18.39537957
0,12.9578796
0,6.25
1,9.60416667
1,7.6625
1,4.60416667
1,11.49628709
1,9.45833334
0,8.6995463
1,11.375
1,1.67083334
1,4.88333333
1,37.39848482
1,33.07310606
1,33.84810607
1,39.06931816
1,28.18977273
1,41.86287882
1,33.84810607
1,0.22916667
0,3.39204543
1,37.20871216
1,3.68371209
1,28.18977273
1,43.15871216
1,5.626894
1,0.93333333
0,0.29166666
1,5.95
1,37.53181816
0,9.01893943
0,1.1625
1,27.89810607
1,34.13977273
1,31.58181816
1,9.31060609
0,9.01893943
0,3.68371209
0,0.57638889
1,3.51666666
1,2.02222222
1,7.00333412
1,11.07083333
0,1.49444444
