margin,diff
385,45.4193723
-145,16.45075757
-20,20.55762987
-85,0.66350728
435,43.14583338
70,34.84810606
-65,5.61666666
105,8.77083333
60,8.0094697
595,61.54318187
235,36.64853897
560,44.12083337
410,25.92677049
115,26.69507581
-20,5.36914062
70,28.56709957
-5,8.10732605
330,49.73750003
330,18.39734849
-5,2.64032908
120,37.31204625
230,0.97916667
280,25.4375
-5,17.9972944
420,18.79861111
445,44.12310611
155,19.95151515
185,21.53679654
155,21.43894019
215,31.74020563
90,19.58035714
15,13.3598485
105,29.78598488
75,40.51103896
340,23.56547624
5,12.76596321
70,26.78704625
205,22.79717092
-170,11.78869048
125,39.53187229
440,30.76325761
-65,3.99855981
110,22.58630957
-95,7.98843514
350,63.09734853
140,7.79166666
205,9.22646107
45,0.97727273
310,30.78560606
25,6.4625
355,20.55952381
-35,10.20562774
45,31.3571429
-5,5.34810606
335,18.97424242
285,8.39583333
350,58.7583333
340,37.58704624
425,51.10371293
435,47.60416667
255,19.19166667
375,65.31204627
160,22.60416667
-25,6.75
130,37.70833333
-60,11.52916667
35,35.98333336
300,21.66621291
-40,10.9375
30,4.2583333
305,7.02037957
25,8.6995463
205,36.10787958
530,49.08333333
370,31.47454624
-55,1.47916666
365,31.47454624
345,36.25371291
500,65.0083333
35,0.4375
60,21.66621291
205,22.60416667
145,6.75
175,62.04121293
550,41.96666663
35,11.52916667
195,30.68795376
125,0.14583333
150,14.20833334
-100,7.02037957
345,26.05787957
-270,4.2583333
80,24.45416669
-145,4.75
90,14.68287957
155,15.75462039
110,18.39537957
-285,12.9578796
-110,6.25
40,9.60416667
90,7.6625
10,4.60416667
360,11.49628709
220,9.45833334
-15,8.6995463
340,11.375
125,1.67083334
100,4.88333333
435,37.39848482
310,33.07310606
310,33.84810607
535,39.06931816
20,28.18977273
350,41.86287882
255,33.84810607
320,0.22916667
-150,3.39204543
635,37.20871216
240,3.68371209
385,28.18977273
95,43.15871216
105,5.626894
180,0.93333333
-185,0.29166666
250,5.95
400,37.53181816
-85,9.01893943
-170,1.1625
30,27.89810607
210,34.13977273
400,31.58181816
75,9.31060609
-115,9.01893943
-80,3.68371209
-135,0.57638889
205,3.51666666
140,2.02222222
85,7.00333412
200,11.07083333
-20,1.49444444
160,11.64722222
225,7.55416667
155,8.13055556
265,9.04861111
-225,1.49444444
-120,21.55888968
155,8.13055556
-335,11.93388968
60,13.42833412
120,9.625
-275,2.90833334
-50,3.51666666
190,28.99954624
45,13.39583334
190,15.37083334
-55,35.25833334
230,31.35732606
310,44.93749997
265,53.45371293
170,26.7625
175,8.49583334
-165,17.96149272
360,24.45416669
-15,29.56666663
-135,3.588961
240,28.39583334
515,60.49954627
40,9.90878709
305,23.20371291
65,13.81204624
105,48.21103897
125,25.03749997
325,13.025
290,43.64583336
130,23.38704625
125,28.99954624
-90,33.73704627
95,5.00878709
330,31.35732606
-120,15.1875
205,29.18287958
375,51.79999997
85,28.2125
-170,5.79583333
-190,12.2885073
-150,15.37083334
220,34.94628706
125,26.7625
110,16.85371291
105,21.44853897
-45,0.18333334
115,0.78704624
265,8.01621291
-385,8.6995463
430,17.96149272
100,7.98843514
-40,4.0625
585,38.77272731
30,39.53187229
55,19.95151515
270,48.59420379
-345,30.69363562
325,36.68939391
-15,9.82147648
285,31.85732605
105,31.3571429
-120,2.0833334
-70,12.27696891
130,0.66350728
420,46.51087039
110,7.67454624
420,19.58035714
285,24.72916667
140,11.78869048
-80,10.20562774
175,15.4431819
-125,18.80821891
410,39.97962039
70,13.3598485
15,7.12815938
295,8.12229434
370,55.42280229
175,17.33378712
480,20.77543291
165,42.06295379
235,15.25045372
245,23.56547624
-110,8.98674243
230,30.59690939
-195,15.4431819
-35,9.85416666
240,14.46527777
-155,4.61111111
45,5.79166667
5,2.2125
155,0.62916667
240,23.79312356
300,18.54053031
240,39.4919872
450,20.375
60,2.84166667
65,16.32803031
30,40.12115387
-35,42.33365387
60,15.69886364
320,14.4375
375,35.44166667
-115,1.26136364
-85,4.6794872
220,15.06666667
230,34.8125
495,25.0544872
175,19.11363636
95,4.6794872
190,4.6794872
85,5.06621291
-50,11.81621291
330,10.22454625
-150,6.75
275,33.65
120,13.80416666
85,9.35371291
445,36.25371291
300,25.39166667
425,15.52454625
105,24.8375
160,13.80416666
185,43.00371291
150,2.60371291
-10,0.55416667
30,6.75
285,33.65
460,29.32871291
365,10.22454625
70,5.73333334
10,5.85416667
10,11.52916667
-40,8.31666667
5,5.79583333
-45,2.4625
265,8.73409091
380,37.85909093
360,29.12500002
195,29.12500002
120,10.5416666
60,4.14159174
455,51.33068179
-55,32.35714567
500,51.33068179
90,10.5416666
385,36.64742345
315,40.78901519
125,10.95600931
150,21.40113636
360,47.04040401
60,15.24628709
475,14.68325834
235,36.49873741
120,4.14159174
705,36.0843947
265,25.5427281
105,4.29027778
5,5.9
15,8.29861111
-170,17.31250002
220,24.125
205,9.92083334
60,1.72916667
125,2.56666667
100,7.31666667
-35,22.77083334
255,6.25
-10,6.65277778
245,19.14482606
185,33.38649272
175,16.87083334
30,17.06527778
225,16.80833333
405,23.72083334
300,19.7375
295,9.83611111
305,9.27777778
55,8.38194445
210,35.95315939
185,29.62083334
205,1.5375
405,27.14861113
-35,3.03333334
-5,0.40416666
-40,9.03194445
50,9.27083334
415,43.26982606
170,7.22916667
435,17.275
165,22.30416667
90,6.85
370,15.52777778
290,28.1277778
145,19.54899272
10,14.24166666
160,13.49305556
275,16.40416667
285,9.88333334
440,36.41982606
85,18.85000002
220,5.49583334
245,10.81527778
410,34.3777778
165,0.97916667
85,4.22222222
35,0.46666667
-10,13.64899272
85,13.8375
125,4.7125
220,3.99027777
-85,4.0135073
60,12.30555556
-45,0.35
400,13.29899272
225,3.57222222
85,17.66250002
-135,13.64899272
65,9.03194445
225,23.91666666
-20,13.42833412
-40,6.425
25,13.71906566
-210,0.29073154
25,7.00333412
45,6.71573154
165,6.71573154
370,37.80522803
-210,24.37689391
315,13.42833412
180,24.37689391
290,24.37689391
135,9.16666667
250,25.79166664
150,6.26812774
45,10.20562774
260,15.5860389
140,4.18479434
195,17.9375
120,12.75562767
235,8.77083333
-140,3.588961
40,3.9375
-65,2.95833333
30,5.6125
-135,0.0597944
-35,0.97916667
505,41.41666663
-15,16.95833333
15,9.27651515
-45,3.16666666
285,39.66666667
525,42.83333333
295,38.24999997
10,1.4166667
140,7.68181818
-75,11.375
115,26.91666663
-185,9.9583333
245,20.60984849
140,28.33333333
25,11.375
155,26.91666663
