Thomas Jefferson A,304,170,118,86,61,32,26,7,77,34,27,8,1,1,0,3,19,8,7,0,4,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter A,185,174,127,96,64,39,23,16,92,44,31,14,9,9,3,0,23,16,11,3,4,3,3,0,2,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCC A,136,119,118,97,83,43,38,21,95,59,38,18,18,11,5,1,35,10,12,2,12,5,4,2,0,0,0,0,11,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevenson A,118,128,125,109,79,47,27,31,85,48,31,30,11,8,4,2,30,20,19,8,6,2,5,3,2,0,0,0,8,2,1,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James E. Taylor A,81,99,93,85,70,55,35,25,84,68,60,24,23,14,11,3,51,21,19,16,12,5,6,2,6,0,1,1,13,4,2,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyon Crest A,37,52,61,47,65,59,61,38,71,65,65,44,30,38,18,10,34,38,23,20,28,6,11,7,6,0,5,1,23,6,6,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayzata A,22,31,47,67,82,55,48,44,51,63,44,43,49,31,17,21,45,29,27,18,22,13,20,12,15,7,3,1,12,11,1,0,12,3,2,0,8,1,3,0,3,2,1,0,0,0,0,0,8,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattahoochee A,28,32,47,50,51,54,56,31,49,65,54,44,50,38,29,16,52,33,32,18,27,18,17,9,13,3,6,6,22,8,3,1,11,3,2,0,2,1,0,0,2,0,0,0,1,0,0,0,5,7,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami Valley A,21,37,35,47,58,69,49,39,56,65,57,53,47,30,20,18,48,29,39,19,23,26,13,6,6,3,7,0,17,10,10,1,8,3,4,1,3,1,1,1,1,0,0,0,0,0,0,0,7,5,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uni Lab A,15,36,44,47,70,67,58,41,53,50,61,46,44,39,31,19,39,24,50,29,20,6,17,12,6,5,2,0,17,6,1,1,9,4,3,1,6,0,1,0,4,2,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northview A,8,14,20,30,35,41,50,44,29,51,47,54,57,39,40,33,33,39,42,32,27,29,21,17,18,15,9,2,17,17,5,4,8,6,7,4,11,8,0,2,2,0,0,0,4,0,0,0,13,4,3,0,1,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
