Thomas Jefferson A,30.4,80.7,94.6,99.6
Hunter A,18.5,71.9,92.2,99.2
DCC A,14.0,62.6,89.1,98.8
Stevenson A,12.0,62.9,87.1,98.2
James E. Taylor A,8.0,59.7,86.5,98.2
Canyon Crest A,2.8,41.8,72.2,91.6
Wayzata A,2.4,37.1,71.1,90.7
Chattahoochee A,2.4,37.6,70.9,90.2
Miami Valley A,1.8,38.6,71.5,90.2
Uni Lab A,2.5,36.2,69.3,88.7
Northview A,0.6,25.8,56.8,81.7
Beavercreek A,1.1,24.7,56.5,82.2
High Tech A,0.7,24.2,55.6,82.8
Lexington A,0.7,19.8,51.3,77.4
LASA A,0.6,21.7,51.4,76.7
Montgomery Blair A,0.3,20.1,48.8,76.8
Carnegie Vanguard A,0.4,16.3,47.4,74.6
Ithaca A,0.2,14.3,44.0,71.9
St. Johns A,0.1,13.8,36.0,66.1
Stanford Online A,0.1,12.3,38.6,65.2
Strake Jesuit A,0.0,8.9,29.4,54.8
Montgomery Blair B,0.1,6.7,23.8,50.1
IMSA A,0.0,6.7,23.8,48.0
Saratoga A,0.1,8.0,25.4,50.0
Auburn A,0.0,6.3,22.0,47.2
Thomas Jefferson B,0.0,6.3,22.5,46.9
Vestavia Hills A,0.0,5.9,22.5,45.1
Ladue A,0.0,4.8,18.6,41.6
Buchholz A,0.1,4.1,14.6,33.0
Troy A,0.0,4.3,16.0,35.8
Wilmington Charter A,0.0,3.5,12.6,30.2
GNS A,0.1,1.8,8.7,19.7
Dorman A,0.0,1.6,7.8,22.0
Solon A,0.0,1.0,6.8,16.6
Henderson County A,0.0,0.5,5.9,16.0
Millburn A,0.0,1.2,5.4,13.5
St. Marks A,0.0,0.7,5.0,14.6
Allderdice A,0.0,1.2,4.7,12.7
Colleyville Heritage A,0.0,0.5,3.6,10.6
North Gwinnett A,0.0,0.8,2.9,7.8
Plano West A,0.0,0.9,3.1,8.2
Walton A,0.0,0.5,3.2,8.0
Early College at Guilford A,0.0,0.1,2.1,6.8
Cistercian A,0.0,0.0,1.4,6.1
Parish Episcopal A,0.0,0.0,1.9,4.9
High Tech B,0.0,0.4,1.3,4.2
Midtown Classical A,0.0,0.1,1.1,3.5
Greens Farms A,0.0,0.1,1.2,3.7
Barrington A,0.0,0.0,0.0,0.2
Glasgow A,0.0,0.2,0.8,2.9
Arcadia A,0.0,0.3,1.2,3.1
Phillips Academy A,0.0,0.1,1.1,3.0
GPS A,0.0,0.0,0.7,2.9
McLean A,0.0,0.1,0.8,2.3
Harker A,0.0,0.0,0.2,1.3
Altamont A,0.0,0.0,0.7,2.2
Fremd A,0.0,0.1,0.6,1.4
Singapore American A,0.0,0.0,0.3,1.1
Mission San Jose A,0.0,0.0,0.5,1.7
Thomas Jefferson C,0.0,0.0,0.5,2.1
Davis A,0.0,0.0,0.4,1.0
Boston Latin A,0.0,0.1,0.5,1.7
Langley A,0.0,0.0,0.6,1.2
Dunbar A,0.0,0.0,0.6,0.8
Penn Manor A,0.0,0.1,0.3,0.8
BASIS McLean A,0.0,0.0,0.2,0.4
Westview A,0.0,0.0,0.4,0.9
St. Joseph A,0.0,0.0,0.1,0.9
Eastside A,0.0,0.0,0.0,0.3
Raleigh Charter A,0.0,0.0,0.2,0.3
Langley B,0.0,0.0,0.0,0.3
Olympian A,0.0,0.0,0.2,0.6
Greenhill A,0.0,0.0,0.1,0.6
Kellenberg A,0.0,0.0,0.0,0.4
St. Thomas A,0.0,0.0,0.0,0.4
Manheim Township A,0.0,0.0,0.1,0.5
Johns Creek A,0.0,0.0,0.0,0.0
George Washington A,0.0,0.0,0.1,0.4
Virgil A,0.0,0.0,0.1,0.4
Bellarmine A,0.0,0.0,0.1,0.3
Strake Jesuit B,0.0,0.0,0.0,0.0
Wheeler A,0.0,0.0,0.0,0.1
Cave Spring A,0.0,0.0,0.2,0.4
Lambert A,0.0,0.0,0.0,0.1
Barrington A,0.0,0.0,0.0,0.2
Belmont A,0.0,0.0,0.0,0.0
Clements A,0.0,0.0,0.1,0.1
Livingston A,0.0,0.0,0.1,0.3
Hanover A,0.0,0.0,0.0,0.1
Westview B,0.0,0.0,0.0,0.0
Oak Ridge A,0.0,0.0,0.0,0.0
DCC B,0.0,0.0,0.0,0.0
Bellarmine B,0.0,0.0,0.0,0.1
NCSSM A,0.0,0.0,0.0,0.0
Sandburg A,0.0,0.0,0.0,0.0
Shanghai American-Puxi A,0.0,0.0,0.0,0.0
